created_at,city,email,first_name,last_name,password,status
2022-11-07 04:36:33,SHYMKENT,dthomassen0@wordpress.com,Drud,Thomassen,waffle,ACTIVE
2022-10-11 08:18:17,ASTANA,kkilfether1@ebay.co.uk,Kit,Kilfether,waffle,ACTIVE
2022-06-13 21:51:54,ASTANA,kpirouet2@quantcast.com,Kerianne,Pirouet,waffle,ACTIVE
2022-11-20 21:04:34,ASTANA,ozimek3@sohu.com,Orton,Zimek,waffle,ACTIVE
2022-06-25 03:35:58,SHYMKENT,ckropach4@businessweek.com,Celinda,Kropach,waffle,ACTIVE
2023-02-02 18:20:55,ALMATY,idedmam5@paginegialle.it,Iseabal,Dedmam,waffle,ACTIVE
2022-09-19 08:08:02,ALMATY,wshorton6@t-online.de,Walliw,Shorton,waffle,ACTIVE
2022-08-21 19:19:47,ASTANA,frichardt7@tripadvisor.com,Fax,Richardt,waffle,ACTIVE
2022-07-24 09:03:57,SHYMKENT,cyakubovics8@desdev.cn,Corissa,Yakubovics,waffle,ACTIVE
2022-09-28 09:24:07,ALMATY,mbracer9@youku.com,Mendel,Bracer,waffle,ACTIVE
2023-02-17 08:30:28,ALMATY,ltregiana@squidoo.com,Lilli,Tregian,waffle,ACTIVE
2023-03-15 00:56:52,ASTANA,nchesselb@free.fr,Nariko,Chessel,waffle,ACTIVE
2023-03-11 07:02:11,ALMATY,asellc@theatlantic.com,Anastassia,Sell,waffle,ACTIVE
2022-12-10 22:47:57,ALMATY,tmingerd@rambler.ru,Tome,Minger,waffle,ACTIVE
2022-05-16 11:51:08,SHYMKENT,kcockshute@mapy.cz,Korrie,Cockshut,waffle,ACTIVE
2022-06-29 19:00:24,SHYMKENT,kmustinf@fema.gov,Kelcie,Mustin,waffle,ACTIVE
2022-12-08 09:28:58,ASTANA,jtremouletg@pagesperso-orange.fr,Javier,Tremoulet,waffle,ACTIVE
2023-01-31 00:19:27,AKTOBE,uvaneevh@blogs.com,Ulrica,Vaneev,waffle,ACTIVE
2022-11-27 03:33:22,ALMATY,scosfordi@yandex.ru,Sabina,Cosford,waffle,ACTIVE
2022-07-11 01:04:08,ALMATY,avolkersj@booking.com,Adam,Volkers,waffle,ACTIVE
